timestamp_sec,module_id,range_m,self_range_error
144.762533,101.0,2.575,0.055
144.783553,102.0,15.874,0.024
144.948853,100.0,10.654,0.024
144.969719,101.0,2.582,0.055
144.990747,102.0,15.896,0.024
145.011763,103.0,11.598,0.055
145.032992,100.0,10.649,0.055
145.053824,101.0,2.581,0.055
145.074871,102.0,15.909,0.024
145.096242,103.0,11.622,0.024
145.117284,100.0,10.65,0.055
145.138392,101.0,2.619,0.055
145.159398,102.0,15.915,0.055
145.180414,103.0,11.633,0.055
145.201443,100.0,10.634,0.055
145.222298,101.0,2.602,0.055
145.243313,102.0,15.914,0.055
145.264321,103.0,11.654,0.055
145.285355,100.0,10.63,0.055
145.306369,101.0,2.683,0.055
145.327397,102.0,15.924,0.055
145.348418,103.0,11.671,0.055
145.369426,100.0,10.622,0.055
145.39026,101.0,2.656,0.055
145.411298,102.0,15.917,0.055
145.432321,103.0,11.674,0.055
145.453343,100.0,10.603,0.055
145.474522,101.0,2.637,0.055
145.495548,102.0,15.918,0.055
145.516565,103.0,11.693,0.024
145.537581,100.0,10.606,0.055
145.558427,101.0,2.607,0.055
145.579447,102.0,15.915,0.055
145.600469,103.0,11.695,0.024
145.621461,100.0,10.59,0.055
145.642271,101.0,2.721,0.024
145.663285,102.0,15.892,0.055
145.6843,103.0,11.707,0.024
145.705296,100.0,10.577,0.055
145.726122,101.0,2.744,0.055
145.747127,102.0,15.902,0.024
145.76959,103.0,11.722,0.055
145.790628,100.0,10.563,0.055
145.811467,101.0,2.724,0.055
145.832891,102.0,15.891,0.055
145.853921,103.0,11.729,0.024
145.874961,100.0,10.554,0.055
145.896019,101.0,2.804,0.055
145.917045,102.0,15.892,0.055
145.938071,103.0,11.746,0.055
145.959075,100.0,10.536,0.055
145.980097,101.0,2.795,0.055
146.001103,102.0,15.918,0.024
146.022144,103.0,11.775,0.024
146.043187,100.0,10.521,0.055
146.064021,101.0,2.85,0.055
146.085052,102.0,15.859,0.024
146.106098,103.0,11.779,0.055
146.127128,100.0,10.503,0.055
146.147936,101.0,2.931,0.024
146.168953,102.0,15.847,0.055
146.189995,103.0,11.786,0.024
146.211016,100.0,10.478,0.055
146.23183,101.0,2.963,0.055
146.254063,102.0,15.837,0.055
146.275099,103.0,11.801,0.055
146.29612,100.0,10.468,0.024
146.317162,101.0,3.012,0.055
146.338201,102.0,15.814,0.055
146.359262,103.0,11.806,0.024
146.380295,100.0,10.447,0.055
146.401492,101.0,3.065,0.024
146.422489,102.0,15.809,0.024
146.443635,103.0,11.821,0.024
146.464668,100.0,10.433,0.055
146.485703,101.0,3.113,0.055
146.506713,102.0,15.781,0.055
146.527744,103.0,11.825,0.055
146.548792,100.0,10.405,0.055
146.569829,101.0,3.17,0.055
146.590874,102.0,15.764,0.024
146.611916,103.0,11.841,0.055
146.633254,100.0,10.39,0.055
146.678609,103.0,11.837,0.055
146.699599,100.0,10.376,65.535
146.720627,101.0,3.246,0.055
